~iteration~,epsilon
0,0.1
9,0.1
18,0.1
27,0.1
36,0.1
45,0.1
54,0.1
63,0.1
72,0.1
81,0.1
90,0.1
99,0.1
108,0.1
117,0.1
126,0.1
135,0.1
144,0.1
153,0.1
162,0.1
171,0.1
180,0.1
189,0.1
198,0.1
207,0.1
216,0.1
225,0.1
234,0.1
243,0.1
252,0.1
261,0.1
270,0.1
279,0.1
288,0.1
297,0.1
306,0.1
315,0.1
324,0.1
333,0.1
342,0.1
351,0.1
360,0.1
369,0.1
378,0.1
387,0.1
396,0.1
405,0.1
414,0.1
423,0.1
432,0.1
441,0.1
450,0.1
459,0.1
468,0.1
477,0.1
486,0.1
495,0.1
504,0.1
513,0.1
522,0.1
531,0.1
540,0.1
549,0.1
558,0.1
567,0.1
576,0.1
585,0.1
594,0.1
603,0.1
612,0.1
621,0.1
630,0.1
639,0.1
648,0.1
657,0.1
666,0.1
675,0.1
684,0.1
693,0.1
702,0.1
711,0.1
720,0.1
729,0.1
738,0.1
747,0.1
756,0.1
765,0.1
774,0.1
783,0.1
792,0.1
801,0.1
810,0.1
819,0.1
828,0.1
837,0.1
846,0.1
855,0.1
864,0.1
873,0.1
882,0.1
891,0.1
900,0.1
909,0.1
918,0.1
927,0.1
936,0.1
945,0.1
954,0.1
963,0.1
972,0.1
981,0.1
990,0.1
999,0.1
1008,0.1
1017,0.1
1026,0.1
1035,0.1
1044,0.1
1053,0.1
1062,0.1
1071,0.1
1080,0.1
1089,0.1
1098,0.1
1107,0.1
1116,0.1
1125,0.1
1134,0.1
1143,0.1
1152,0.1
1161,0.1
1170,0.1
1179,0.1
1188,0.1
1197,0.1
1206,0.1
1215,0.1
1224,0.1
1233,0.1
1242,0.1
1251,0.1
1260,0.1
1269,0.1
1278,0.1
1287,0.1
1296,0.1
1305,0.1
1314,0.1
1323,0.1
1332,0.1
1341,0.1
1350,0.1
1359,0.1
1368,0.1
1377,0.1
1386,0.1
1395,0.1
1404,0.1
1413,0.1
1422,0.1
1431,0.1
1440,0.1
1449,0.1
1458,0.1
1467,0.1
1476,0.1
1485,0.1
1494,0.1
1503,0.1
1512,0.1
1521,0.1
1530,0.1
1539,0.1
1548,0.1
1557,0.1
1566,0.1
1575,0.1
1584,0.1
1593,0.1
1602,0.1
1611,0.1
1620,0.1
1629,0.1
1638,0.1
1647,0.1
1656,0.1
1665,0.1
1674,0.1
1683,0.1
1692,0.1
1701,0.1
1710,0.1
1719,0.1
1728,0.1
1737,0.1
1746,0.1
1755,0.1
1764,0.1
1773,0.1
1782,0.1
1791,0.1
