~iteration~,low
0,0
9,0
18,0
27,0
36,0
45,0
54,0
63,0
72,0
81,0
90,0
99,0
108,0
117,0
126,0
135,0
144,0
153,0
162,0
171,0
180,0
189,0
198,0
207,0
216,0
225,0
234,0
243,0
252,0
261,0
270,0
279,0
288,0
297,0
306,0
315,0
324,0
333,0
342,0
351,0
360,0
369,0
378,0
387,0
396,0
405,0
414,0
423,0
432,0
441,0
450,0
459,0
468,0
477,0
486,0
495,0
504,0
513,0
522,0
531,0
540,0
549,0
558,0
567,0
576,0
585,0
594,0
603,0
612,0
621,0
630,0
639,0
648,0
657,0
666,0
675,0
684,0
693,0
702,0
711,0
720,0
729,0
738,0
747,0
756,0
765,0
774,0
783,0
792,0
801,0
810,0
819,0
828,0
837,0
846,0
855,0
864,0
873,0
882,0
891,0
900,0
909,0
918,0
927,0
936,0
945,0
954,0
963,0
972,0
981,0
990,0
999,0
1008,0
1017,0
1026,0
1035,0
1044,0
1053,0
1062,0
1071,0
1080,0
1089,0
1098,0
1107,0
1116,0
1125,0
1134,0
1143,0
1152,0
1161,0
1170,0
1179,0
1188,0
1197,0
1206,0
1215,0
1224,0
1233,0
1242,0
1251,0
1260,0
1269,0
1278,0
1287,0
1296,0
1305,0
1314,0
1323,0
1332,0
1341,0
1350,0
1359,0
1368,0
1377,0
1386,0
1395,0
1404,0
1413,0
1422,0
1431,0
1440,0
1449,0
1458,0
1467,0
1476,0
1485,0
1494,0
1503,0
1512,0
1521,0
1530,0
1539,0
1548,0
1557,0
1566,0
1575,0
1584,0
1593,0
1602,0
1611,0
1620,0
1629,0
1638,0
1647,0
1656,0
1665,0
1674,0
1683,0
1692,0
1701,0
1710,0
1719,0
1728,0
1737,0
1746,0
1755,0
1764,0
1773,0
1782,0
1791,0
