~iteration~,epoch,acc_yinda_level0,auc_yinda_level0,mean_average_precision_at_r_level0,precision_at_1_level0,r_precision_level0,best_epoch,best_accuracy,folder_name
23,23,0.859375,0.9408212560386472,0.7188202476898029,0.90625,0.7988153594771241,23,0.9408212560386472,data_0_0
36,36,0.75,0.957729468599034,0.7021525404070097,0.828125,0.7831290849673203,36,0.957729468599034,data_0_1
72,72,0.90625,0.969806763285024,0.7768261619705668,0.90625,0.8390522875816994,72,0.969806763285024,data_0_2
63,63,0.796875,0.8881506090808416,0.5566067542357952,0.671875,0.7023809523809523,63,0.8881506090808416,data_1_0
65,65,0.734375,0.8726467331118494,0.5441269868503013,0.703125,0.6811755952380951,65,0.8726467331118494,data_1_1
87,87,0.671875,0.8959025470653378,0.5499088841727215,0.6875,0.6766369047619047,87,0.8959025470653378,data_1_2
30,30,0.765625,0.9787910922587486,0.7761197776467782,0.890625,0.826455965909091,30,0.9787910922587486,data_2_0
71,71,0.921875,0.973488865323436,0.7880510636957739,0.890625,0.83984375,71,0.973488865323436,data_2_1
57,57,0.859375,0.9819724284199364,0.7268909116452267,0.875,0.7926136363636362,57,0.9819724284199364,data_2_2
64,64,0.8571428571428571,0.958980044345898,0.6491567482298507,0.873015873015873,0.7399848828420256,64,0.958980044345898,data_3_0
30,30,0.6666666666666666,0.9157427937915744,0.6301652745507056,0.8412698412698413,0.7340891912320484,30,0.9157427937915744,data_3_1
35,35,0.8571428571428571,0.9478935698447892,0.6857969673899262,0.8888888888888888,0.7584845049130764,35,0.9478935698447892,data_3_2
23,23,0.5873015873015873,0.9390243902439024,0.6209247110294239,0.7777777777777778,0.7363189720332577,23,0.9390243902439024,data_4_0
58,58,0.6190476190476191,0.8880266075388027,0.5871344126574888,0.7142857142857143,0.7130196523053666,58,0.8880266075388027,data_4_1
44,44,0.7777777777777778,0.9146341463414634,0.6351823166533929,0.746031746031746,0.7359788359788358,44,0.9146341463414634,data_4_2
