~iteration~,num_bins
0,10
9,10
18,10
27,10
36,10
45,10
54,10
63,10
72,10
81,10
90,10
99,10
108,10
117,10
126,10
135,10
144,10
153,10
162,10
171,10
180,10
189,10
198,10
207,10
216,10
225,10
234,10
243,10
252,10
261,10
270,10
279,10
288,10
297,10
306,10
315,10
324,10
333,10
342,10
351,10
360,10
369,10
378,10
387,10
396,10
405,10
414,10
423,10
432,10
441,10
450,10
459,10
468,10
477,10
486,10
495,10
504,10
513,10
522,10
531,10
540,10
549,10
558,10
567,10
576,10
585,10
594,10
603,10
612,10
621,10
630,10
639,10
648,10
657,10
666,10
675,10
684,10
693,10
702,10
711,10
720,10
729,10
738,10
747,10
756,10
765,10
774,10
783,10
792,10
801,10
810,10
819,10
828,10
837,10
846,10
855,10
864,10
873,10
882,10
891,10
900,10
909,10
918,10
927,10
936,10
945,10
954,10
963,10
972,10
981,10
990,10
999,10
1008,10
1017,10
1026,10
1035,10
1044,10
1053,10
1062,10
1071,10
1080,10
1089,10
1098,10
1107,10
1116,10
1125,10
1134,10
1143,10
1152,10
1161,10
1170,10
1179,10
1188,10
1197,10
1206,10
1215,10
1224,10
1233,10
1242,10
1251,10
1260,10
1269,10
1278,10
1287,10
1296,10
1305,10
1314,10
1323,10
1332,10
1341,10
1350,10
1359,10
1368,10
1377,10
1386,10
1395,10
1404,10
1413,10
1422,10
1431,10
1440,10
1449,10
1458,10
1467,10
1476,10
1485,10
1494,10
1503,10
1512,10
1521,10
1530,10
1539,10
1548,10
1557,10
1566,10
1575,10
1584,10
1593,10
1602,10
1611,10
1620,10
1629,10
1638,10
1647,10
1656,10
1665,10
1674,10
1683,10
1692,10
1701,10
1710,10
1719,10
1728,10
1737,10
1746,10
1755,10
1764,10
1773,10
1782,10
1791,10
1800,10
1809,10
1818,10
1827,10
1836,10
1845,10
1854,10
1863,10
1872,10
1881,10
1890,10
1899,10
1908,10
1917,10
1926,10
1935,10
1944,10
1953,10
1962,10
1971,10
1980,10
1989,10
1998,10
2007,10
2016,10
2025,10
2034,10
2043,10
2052,10
2061,10
2070,10
2079,10
2088,10
2097,10
2106,10
2115,10
2124,10
2133,10
2142,10
2151,10
2160,10
2169,10
2178,10
2187,10
2196,10
2205,10
2214,10
2223,10
2232,10
2241,10
2250,10
2259,10
2268,10
2277,10
2286,10
2295,10
2304,10
2313,10
2322,10
2331,10
2340,10
2349,10
2358,10
2367,10
2376,10
2385,10
2394,10
2403,10
2412,10
2421,10
2430,10
2439,10
2448,10
2457,10
2466,10
2475,10
2484,10
2493,10
2502,10
2511,10
2520,10
2529,10
2538,10
2547,10
2556,10
2565,10
2574,10
2583,10
2592,10
2601,10
2610,10
2619,10
2628,10
2637,10
2646,10
2655,10
2664,10
2673,10
2682,10
2691,10
2700,10
2709,10
2718,10
2727,10
2736,10
2745,10
2754,10
2763,10
2772,10
2781,10
2790,10
2799,10
2808,10
2817,10
2826,10
2835,10
2844,10
2853,10
2862,10
2871,10
2880,10
2889,10
2898,10
2907,10
2916,10
2925,10
2934,10
2943,10
2952,10
2961,10
2970,10
2979,10
2988,10
2997,10
3006,10
3015,10
3024,10
3033,10
3042,10
3051,10
3060,10
3069,10
3078,10
3087,10
3096,10
3105,10
3114,10
3123,10
3132,10
3141,10
3150,10
3159,10
3168,10
3177,10
3186,10
3195,10
3204,10
3213,10
3222,10
3231,10
3240,10
3249,10
3258,10
3267,10
3276,10
3285,10
3294,10
3303,10
3312,10
3321,10
3330,10
3339,10
3348,10
3357,10
3366,10
3375,10
3384,10
3393,10
3402,10
3411,10
3420,10
3429,10
3438,10
3447,10
3456,10
3465,10
3474,10
3483,10
3492,10
3501,10
3510,10
3519,10
3528,10
3537,10
3546,10
3555,10
3564,10
3573,10
3582,10
3591,10
