~iteration~,softmax_scale
0,1
9,1
18,1
27,1
36,1
45,1
54,1
63,1
72,1
81,1
90,1
99,1
108,1
117,1
126,1
135,1
144,1
153,1
162,1
171,1
180,1
189,1
198,1
207,1
216,1
225,1
234,1
243,1
252,1
261,1
270,1
279,1
288,1
297,1
306,1
315,1
324,1
333,1
342,1
351,1
360,1
369,1
378,1
387,1
396,1
405,1
414,1
423,1
432,1
441,1
450,1
459,1
468,1
477,1
486,1
495,1
504,1
513,1
522,1
531,1
540,1
549,1
558,1
567,1
576,1
585,1
594,1
603,1
612,1
621,1
630,1
639,1
648,1
657,1
666,1
675,1
684,1
693,1
702,1
711,1
720,1
729,1
738,1
747,1
756,1
765,1
774,1
783,1
792,1
801,1
810,1
819,1
828,1
837,1
846,1
855,1
864,1
873,1
882,1
891,1
900,1
909,1
918,1
927,1
936,1
945,1
954,1
963,1
972,1
981,1
990,1
999,1
1008,1
1017,1
1026,1
1035,1
1044,1
1053,1
1062,1
1071,1
1080,1
1089,1
1098,1
1107,1
1116,1
1125,1
1134,1
1143,1
1152,1
1161,1
1170,1
1179,1
1188,1
1197,1
1206,1
1215,1
1224,1
1233,1
1242,1
1251,1
1260,1
1269,1
1278,1
1287,1
1296,1
1305,1
1314,1
1323,1
1332,1
1341,1
1350,1
1359,1
1368,1
1377,1
1386,1
1395,1
1404,1
1413,1
1422,1
1431,1
1440,1
1449,1
1458,1
1467,1
1476,1
1485,1
1494,1
1503,1
1512,1
1521,1
1530,1
1539,1
1548,1
1557,1
1566,1
1575,1
1584,1
1593,1
1602,1
1611,1
1620,1
1629,1
1638,1
1647,1
1656,1
1665,1
1674,1
1683,1
1692,1
1701,1
1710,1
1719,1
1728,1
1737,1
1746,1
1755,1
1764,1
1773,1
1782,1
1791,1
1800,1
1809,1
1818,1
1827,1
1836,1
1845,1
1854,1
1863,1
1872,1
1881,1
1890,1
1899,1
1908,1
1917,1
1926,1
1935,1
1944,1
1953,1
1962,1
1971,1
1980,1
1989,1
1998,1
2007,1
2016,1
2025,1
2034,1
2043,1
2052,1
2061,1
2070,1
2079,1
2088,1
2097,1
2106,1
2115,1
2124,1
2133,1
2142,1
2151,1
2160,1
2169,1
2178,1
2187,1
2196,1
2205,1
2214,1
2223,1
2232,1
2241,1
2250,1
2259,1
2268,1
2277,1
2286,1
2295,1
2304,1
2313,1
2322,1
2331,1
2340,1
2349,1
2358,1
2367,1
2376,1
2385,1
2394,1
2403,1
2412,1
2421,1
2430,1
2439,1
2448,1
2457,1
2466,1
2475,1
2484,1
2493,1
2502,1
2511,1
2520,1
2529,1
2538,1
2547,1
2556,1
2565,1
2574,1
2583,1
2592,1
2601,1
2610,1
2619,1
2628,1
2637,1
2646,1
2655,1
2664,1
2673,1
2682,1
2691,1
2700,1
2709,1
2718,1
2727,1
2736,1
2745,1
2754,1
2763,1
2772,1
2781,1
2790,1
2799,1
2808,1
2817,1
2826,1
2835,1
2844,1
2853,1
2862,1
2871,1
2880,1
2889,1
2898,1
2907,1
2916,1
2925,1
2934,1
2943,1
2952,1
2961,1
2970,1
2979,1
2988,1
2997,1
3006,1
3015,1
3024,1
3033,1
3042,1
3051,1
3060,1
3069,1
3078,1
3087,1
3096,1
3105,1
3114,1
3123,1
3132,1
3141,1
3150,1
3159,1
3168,1
3177,1
3186,1
3195,1
3204,1
3213,1
3222,1
3231,1
3240,1
3249,1
3258,1
3267,1
3276,1
3285,1
3294,1
3303,1
3312,1
3321,1
3330,1
3339,1
3348,1
3357,1
3366,1
3375,1
3384,1
3393,1
3402,1
3411,1
3420,1
3429,1
3438,1
3447,1
3456,1
3465,1
3474,1
3483,1
3492,1
3501,1
3510,1
3519,1
3528,1
3537,1
3546,1
3555,1
3564,1
3573,1
3582,1
3591,1
