~iteration~,temperature
0,0.3
9,0.3
18,0.3
27,0.3
36,0.3
45,0.3
54,0.3
63,0.3
72,0.3
81,0.3
90,0.3
99,0.3
108,0.3
117,0.3
126,0.3
135,0.3
144,0.3
153,0.3
162,0.3
171,0.3
180,0.3
189,0.3
198,0.3
207,0.3
216,0.3
225,0.3
234,0.3
243,0.3
252,0.3
261,0.3
270,0.3
279,0.3
288,0.3
297,0.3
306,0.3
315,0.3
324,0.3
333,0.3
342,0.3
351,0.3
360,0.3
369,0.3
378,0.3
387,0.3
396,0.3
405,0.3
414,0.3
423,0.3
432,0.3
441,0.3
450,0.3
459,0.3
468,0.3
477,0.3
486,0.3
495,0.3
504,0.3
513,0.3
522,0.3
531,0.3
540,0.3
549,0.3
558,0.3
567,0.3
576,0.3
585,0.3
594,0.3
603,0.3
612,0.3
621,0.3
630,0.3
639,0.3
648,0.3
657,0.3
666,0.3
675,0.3
684,0.3
693,0.3
702,0.3
711,0.3
720,0.3
729,0.3
738,0.3
747,0.3
756,0.3
765,0.3
774,0.3
783,0.3
792,0.3
801,0.3
810,0.3
819,0.3
828,0.3
837,0.3
846,0.3
855,0.3
864,0.3
873,0.3
882,0.3
891,0.3
900,0.3
909,0.3
918,0.3
927,0.3
936,0.3
945,0.3
954,0.3
963,0.3
972,0.3
981,0.3
990,0.3
999,0.3
1008,0.3
1017,0.3
1026,0.3
1035,0.3
1044,0.3
1053,0.3
1062,0.3
1071,0.3
1080,0.3
1089,0.3
1098,0.3
1107,0.3
1116,0.3
1125,0.3
1134,0.3
1143,0.3
1152,0.3
1161,0.3
1170,0.3
1179,0.3
1188,0.3
1197,0.3
1206,0.3
1215,0.3
1224,0.3
1233,0.3
1242,0.3
1251,0.3
1260,0.3
1269,0.3
1278,0.3
1287,0.3
1296,0.3
1305,0.3
1314,0.3
1323,0.3
1332,0.3
1341,0.3
1350,0.3
1359,0.3
1368,0.3
1377,0.3
1386,0.3
1395,0.3
1404,0.3
1413,0.3
1422,0.3
1431,0.3
1440,0.3
1449,0.3
1458,0.3
1467,0.3
1476,0.3
1485,0.3
1494,0.3
1503,0.3
1512,0.3
1521,0.3
1530,0.3
1539,0.3
1548,0.3
1557,0.3
1566,0.3
1575,0.3
1584,0.3
1593,0.3
1602,0.3
1611,0.3
1620,0.3
1629,0.3
1638,0.3
1647,0.3
1656,0.3
1665,0.3
1674,0.3
1683,0.3
1692,0.3
1701,0.3
1710,0.3
1719,0.3
1728,0.3
1737,0.3
1746,0.3
1755,0.3
1764,0.3
1773,0.3
1782,0.3
1791,0.3
1800,0.3
1809,0.3
1818,0.3
1827,0.3
1836,0.3
1845,0.3
1854,0.3
1863,0.3
1872,0.3
1881,0.3
1890,0.3
1899,0.3
1908,0.3
1917,0.3
1926,0.3
1935,0.3
1944,0.3
1953,0.3
1962,0.3
1971,0.3
1980,0.3
1989,0.3
1998,0.3
2007,0.3
2016,0.3
2025,0.3
2034,0.3
2043,0.3
2052,0.3
2061,0.3
2070,0.3
2079,0.3
2088,0.3
2097,0.3
2106,0.3
2115,0.3
2124,0.3
2133,0.3
2142,0.3
2151,0.3
2160,0.3
2169,0.3
2178,0.3
2187,0.3
2196,0.3
2205,0.3
2214,0.3
2223,0.3
2232,0.3
2241,0.3
2250,0.3
2259,0.3
2268,0.3
2277,0.3
2286,0.3
2295,0.3
2304,0.3
2313,0.3
2322,0.3
2331,0.3
2340,0.3
2349,0.3
2358,0.3
2367,0.3
2376,0.3
2385,0.3
2394,0.3
2403,0.3
2412,0.3
2421,0.3
2430,0.3
2439,0.3
2448,0.3
2457,0.3
2466,0.3
2475,0.3
2484,0.3
2493,0.3
2502,0.3
2511,0.3
2520,0.3
2529,0.3
2538,0.3
2547,0.3
2556,0.3
2565,0.3
2574,0.3
2583,0.3
2592,0.3
2601,0.3
2610,0.3
2619,0.3
2628,0.3
2637,0.3
2646,0.3
2655,0.3
2664,0.3
2673,0.3
2682,0.3
2691,0.3
2700,0.3
2709,0.3
2718,0.3
2727,0.3
2736,0.3
2745,0.3
2754,0.3
2763,0.3
2772,0.3
2781,0.3
2790,0.3
2799,0.3
2808,0.3
2817,0.3
2826,0.3
2835,0.3
2844,0.3
2853,0.3
2862,0.3
2871,0.3
2880,0.3
2889,0.3
2898,0.3
2907,0.3
2916,0.3
2925,0.3
2934,0.3
2943,0.3
2952,0.3
2961,0.3
2970,0.3
2979,0.3
2988,0.3
2997,0.3
3006,0.3
3015,0.3
3024,0.3
3033,0.3
3042,0.3
3051,0.3
3060,0.3
3069,0.3
3078,0.3
3087,0.3
3096,0.3
3105,0.3
3114,0.3
3123,0.3
3132,0.3
3141,0.3
3150,0.3
3159,0.3
3168,0.3
3177,0.3
3186,0.3
3195,0.3
3204,0.3
3213,0.3
3222,0.3
3231,0.3
3240,0.3
3249,0.3
3258,0.3
3267,0.3
3276,0.3
3285,0.3
3294,0.3
3303,0.3
3312,0.3
3321,0.3
3330,0.3
3339,0.3
3348,0.3
3357,0.3
3366,0.3
3375,0.3
3384,0.3
3393,0.3
3402,0.3
3411,0.3
3420,0.3
3429,0.3
3438,0.3
3447,0.3
3456,0.3
3465,0.3
3474,0.3
3483,0.3
3492,0.3
3501,0.3
3510,0.3
3519,0.3
3528,0.3
3537,0.3
3546,0.3
3555,0.3
3564,0.3
3573,0.3
3582,0.3
3591,0.3
